X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0345683490391,38.9072513227678,23058712,2023/04/15 21:55:18+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,15TH STREET NW AND N STREET NW,397001.91138717,137709.95999723,2,2F,2,208,Cluster 6,005202 2,005202,Precinct 17,38.9072435344,-77.0345660544,,2023/04/10 21:00:00+00,2023/04/15 21:00:00+00,334466914,
-76.9990353963072,38.9525591371055,23051913,2023/04/04 16:11:46+00,DAY,OTHERS,MOTOR VEHICLE THEFT,300 - 499 BLOCK OF GALLOWAY STREET NE,400083.81,142738.95,5,5A,4,406,Cluster 19,009508 2,009508,Precinct 66,38.9525513383,-76.9990331099,,2023/04/04 12:15:00+00,2023/04/04 15:20:00+00,334467103,
-76.9699944767622,38.8732093903665,23052401,2023/04/05 11:28:39+00,DAY,OTHERS,THEFT/OTHER,2500 - 2599 BLOCK OF PENNSYLVANIA AVENUE SE,402603.97,133930.9,7,7B,6,607,Cluster 34,007604 1,007604,Precinct 111,38.8732016065,-76.9699922042,,2023/04/05 00:00:00+00,2023/04/05 09:00:00+00,334467104,
-77.0327321588336,38.9295246790098,23053339,2023/04/06 23:47:57+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2023/04/06 17:42:00+00,2023/04/06 20:21:00+00,334467105,
-76.9827801059499,38.8783986726288,23055861,2023/04/11 07:23:44+00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF K STREET SE,401494.37020734,134506.662362253,6,6B,1,106,Cluster 26,007100 1,007100,Precinct 91,38.8783908878,-76.982777829,,2022/07/22 16:00:00+00,2023/04/09 03:01:00+00,334467106,
-77.087424218467,38.947913762586,23056273,2023/04/11 21:42:25+00,EVENING,OTHERS,BURGLARY,4400 - 4499 BLOCK OF ALBEMARLE STREET NW,392421.78,142226.9,3,3E,2,202,Cluster 11,001004 3,001004,Precinct 30,38.947905968,-77.0874219048,,2023/03/23 13:30:00+00,2023/04/07 19:00:00+00,334467107,
-76.9721425034387,38.860276544187,23056567,2023/04/12 13:15:04+00,DAY,OTHERS,THEFT F/AUTO,2400 - 2420 BLOCK OF WAGNER STREET SE,402418.01,132495.2,8,8B,7,702,Cluster 36,007502 1,007502,Precinct 134,38.860268763,-76.972140231,,2023/04/12 12:18:00+00,2023/04/12 13:10:00+00,334467108,
-76.9580578714817,38.8897948449568,23057445,2023/04/13 19:30:17+00,EVENING,OTHERS,THEFT F/AUTO,2300 - 3955 BLOCK OF EAST CAPITOL STREET,403638.94,135772.42,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,38.8897870573,-76.9580556016,,2023/04/13 18:36:00+00,2023/04/13 19:30:00+00,334467109,
-76.9920603774665,38.8400634928432,23057734,2023/04/14 05:08:53+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3400 - 3499 BLOCK OF 10TH PLACE SE,400689.49,130251.07,8,8C,7,705,Cluster 39,007304 2,007304,Precinct 120,38.8400557164,-76.9920581001,,2023/04/14 03:37:00+00,2023/04/14 04:46:00+00,334467110,
-77.0058662803416,38.8755663617471,23058093,2023/04/14 21:44:07+00,EVENING,KNIFE,THEFT/OTHER,1200 - 1299 BLOCK OF 1ST STREET SE,399491.16,134192.13,8,8F,1,106,Cluster 27,007201 1,007201,Precinct 131,38.8755585787,-77.0058639965,CAPITOL RIVERFRONT,2023/04/14 19:00:00+00,2023/04/14 19:05:00+00,334467111,
-76.9868572562676,38.8436911760973,23058479,2023/04/15 11:30:36+00,DAY,GUN,ROBBERY,1300 - 1369 BLOCK OF SAVANNAH STREET SE,401141.15,130653.82,8,8C,7,705,Cluster 38,007304 3,007304,Precinct 120,38.8436833988,-76.9868549803,,2023/04/15 10:07:00+00,2023/04/15 11:30:00+00,334467112,
-77.017157391421,38.942654988932,23058531,2023/04/15 14:52:25+00,DAY,OTHERS,MOTOR VEHICLE THEFT,4200 - 4299 BLOCK OF 4TH STREET NW,398512.79,141639.64,4,4C,4,407,Cluster 18,002301 2,002301,Precinct 46,38.9426471928,-77.0171550999,,2023/04/15 02:00:00+00,2023/04/15 13:30:00+00,334467113,
-77.0334280143813,38.9599342030875,23058552,2023/04/15 17:41:20+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5728 - 5799 BLOCK OF 14TH STREET NW,397102.96,143558.18,4,4E,4,403,Cluster 18,002001 1,002001,Precinct 53,38.9599264041,-77.0334257168,,2023/04/15 04:05:00+00,2023/04/15 16:09:00+00,334467114,
-76.9456222666058,38.893672237533,23058753,2023/04/16 01:54:22+00,EVENING,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF BENNING ROAD NE,404717.55,136203.41,7,7F,6,602,Cluster 30,007803 1,007803,Precinct 99,38.8936644486,-76.9456200004,,2023/04/15 22:56:00+00,2023/04/15 23:15:00+00,334467115,
-76.9908890922677,38.8825277431881,23058911,2023/04/16 05:31:40+00,MIDNIGHT,OTHERS,BURGLARY,1100 - 1199 BLOCK OF PENNSYLVANIA AVENUE SE,400790.706814687,134964.919162678,6,6B,1,106,Cluster 26,007100 2,007100,Precinct 91,38.8825199578,-76.9908868125,CAPITOL HILL,2023/04/16 04:23:00+00,2023/04/16 05:10:00+00,334467116,
-76.9443706006027,38.8990657480248,23061997,2023/04/21 16:02:02+00,DAY,OTHERS,THEFT F/AUTO,4000 - 4199 BLOCK OF GAULT PLACE NE,404825.769090431,136802.197724383,7,7C,6,602,Cluster 30,007803 1,007803,Precinct 99,38.8990579582,-76.9443683346,,2023/04/20 22:30:00+00,2023/04/21 11:30:00+00,334467154,
-77.0334188378625,38.971121550469,23062529,2023/04/22 18:24:46+00,DAY,OTHERS,MOTOR VEHICLE THEFT,6700 - 6706 BLOCK OF 14TH STREET NW,397104.21,144800.08,4,4A,4,401,Cluster 17,001804 1,001804,Precinct 61,38.9711137492,-77.0334165396,,2023/04/22 12:05:00+00,2023/04/22 13:25:00+00,334467155,
-77.0280882969955,38.8967451717793,23063768,2023/04/24 20:59:05+00,EVENING,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF 12TH STREET NW,397563.6,136543.5,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8967373853,-77.0280860049,DOWNTOWN,2023/04/24 20:29:00+00,2023/04/24 20:30:00+00,334467156,
-77.0017464232429,38.8216374744507,23064004,2023/04/25 08:35:14+00,MIDNIGHT,OTHERS,THEFT F/AUTO,4600 - 4799 BLOCK OF SOUTH CAPITOL STREET,399848.54,128205.63,8,8D,7,708,Cluster 39,010900 2,010900,Precinct 125,38.8216297021,-77.0017441439,,2023/04/25 07:36:00+00,2023/04/25 08:15:00+00,334467157,
-77.0575805142022,38.9050971786791,23064371,2023/04/25 22:23:04+00,EVENING,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF PENNSYLVANIA AVENUE NW,395005.8,137471.84,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9050893916,-77.0575782124,GEORGETOWN,2023/04/25 21:51:00+00,2023/04/25 22:00:00+00,334467158,
-77.0400804784361,38.9103958169745,23064635,2023/04/26 14:14:31+00,DAY,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF CHURCH STREET NW,396523.97,138059.22,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9103880282,-77.0400781818,,2023/04/25 19:30:00+00,2023/04/26 10:30:00+00,334467159,
-76.9594784461592,38.8689264354375,23064647,2023/04/26 13:38:30+00,DAY,OTHERS,THEFT F/AUTO,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,403516.724545217,133455.812729278,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.8689186523,-76.9594761766,,2023/04/26 10:15:00+00,2023/04/26 12:15:00+00,334467160,
-76.9839299217041,38.9147649569323,23064871,2023/04/30 23:13:33+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1498 BLOCK OF OKIE STREET NE,401393.89,138543.59,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9147571652,-76.9839276423,,2023/04/24 04:00:00+00,,334467161,
-76.9278671452539,38.8821593000572,23065241,2023/04/27 13:20:47+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5100 - 5299 BLOCK OF E STREET SE,406258.843587761,134926.452346642,7,7E,6,604,Cluster 33,009905 3,009905,Precinct 104,38.8821515132,-76.9278648854,,2023/04/27 12:32:00+00,,334467162,
-76.9676393440692,38.8594853442807,23065821,2023/04/28 11:30:47+00,DAY,GUN,THEFT/OTHER,2700 - 2845 BLOCK OF ALABAMA AVENUE SE,402808.88,132407.5,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,38.8594775631,-76.9676370731,,2023/04/28 10:35:00+00,2023/04/28 10:50:00+00,334467163,
-76.9594784461592,38.8689264354375,23066203,2023/04/29 00:25:34+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,403516.724545217,133455.812729278,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.8689186523,-76.9594761766,,2023/04/28 23:50:00+00,2023/04/29 00:01:00+00,334467164,
-76.9739743126414,38.8635423389654,23066212,2023/04/29 00:51:44+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,2300 - 2399 BLOCK OF GOOD HOPE ROAD SE,402258.92,132857.68,8,8A,6,607,Cluster 34,007605 3,007605,Precinct 112,38.8635345572,-76.9739720394,,2023/04/28 23:44:00+00,2023/04/29 01:00:00+00,334467165,
-77.0319562731989,38.9031377717333,23066566,2023/04/29 20:32:07+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 14TH STREET NW,397228.31,137253.24,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 129,38.9031299841,-77.0319539795,DOWNTOWN,2023/04/29 16:50:00+00,2023/04/29 18:00:00+00,334467166,
-76.9781861628605,38.8707510204878,23067083,2023/04/30 17:52:10+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF Q STREET SE,401893.18998371,133657.800857465,8,8A,6,607,Cluster 34,007601 3,007601,Precinct 140,38.870743237,-76.9781838881,,2023/04/30 16:32:00+00,2023/04/30 17:49:00+00,334467167,
-77.0399212713855,38.9118744108219,23067260,2023/04/30 23:37:13+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1789 BLOCK OF CORCORAN STREET NW,396537.85,138223.35,2,2B,3,301,Cluster 6,005302 3,005302,Precinct 15,38.9118666217,-77.0399189747,,2023/04/30 22:52:00+00,2023/04/30 23:10:00+00,334467168,
-76.974773718946,38.9056311303471,23067720,2023/05/01 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,1917 - 2099 BLOCK OF M STREET NE,402188.25,137529.84,5,5D,5,507,Cluster 23,008903 1,008903,Precinct 78,38.9056233401,-76.9747714429,,2023/05/01 16:26:00+00,2023/05/01 16:27:00+00,334467169,
-77.0058867739449,38.9060517824435,23067786,2023/05/01 19:37:46+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1229 BLOCK OF 1ST STREET NE,399489.6,137576.25,6,6E,5,501,Cluster 25,010601 2,010601,Precinct 144,38.9060439932,-77.0058844882,NOMA,2023/04/24 04:00:00+00,,334467170,
-76.9799252900536,38.927270686662,23067813,2023/05/01 21:12:22+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NE,401740.89,139931.9,5,5B,5,504,Cluster 22,009301 3,009301,Precinct 70,38.9272628922,-76.9799230111,,2023/04/30 02:45:00+00,2023/04/30 18:00:00+00,334467171,
-76.9854354108287,38.8405117454778,23009030,2023/01/23 21:21:22+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1500 BLOCK OF MISSISSIPPI AVENUE SE,401264.64,130300.9,8,8E,7,705,Cluster 38,007304 4,007304,Precinct 120,38.8405039687,-76.9854331354,,2023/01/17 22:37:00+00,2023/01/18 00:23:00+00,334467256,
-77.0232288570045,38.9574286843459,23009204,2023/01/18 08:29:03+00,MIDNIGHT,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF LONGFELLOW STREET NW,397986.86,143279.77,4,4D,4,403,Cluster 18,002101 1,002101,Precinct 58,38.9574208854,-77.0232265627,,2023/01/18 02:00:00+00,2023/01/18 08:10:00+00,334467257,
-77.0353497718374,38.9241238810999,23009327,2023/01/18 16:17:50+00,DAY,OTHERS,THEFT/OTHER,2600 - 2798 BLOCK OF 15TH STREET NW,396934.86,139582.98,1,1A,3,304,Cluster 2,003702 1,003702,Precinct 36,38.9241160894,-77.0353474758,,2023/01/12 19:33:00+00,2023/01/18 15:47:00+00,334467258,
-77.0219204440698,38.9148378735623,23010013,2023/01/19 20:01:53+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF 7TH STREET NW,398099.13,138551.79,1,1B,3,306,Cluster 3,004801 2,004801,Precinct 137,38.9148300832,-77.0219181528,,2023/01/19 17:00:00+00,2023/01/19 18:00:00+00,334467259,
-77.004190298014,38.9087265243303,23010564,2023/01/20 18:23:05+00,DAY,OTHERS,MOTOR VEHICLE THEFT,100 - 149 BLOCK OF FLORIDA AVENUE NE,399636.76,137873.16,5,5F,5,501,Cluster 23,008702 3,008702,Precinct 75,38.9087187345,-77.0041880126,NOMA,2022/12/14 15:50:00+00,2023/01/20 18:20:00+00,334467260,
-77.0257319983134,38.9253863884514,23010762,2023/01/20 23:54:34+00,EVENING,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF SHERMAN AVENUE NW,397768.9,139722.85,1,1E,3,304,Cluster 2,003500 1,003500,Precinct 37,38.9253785961,-77.0257297052,,2023/01/20 23:45:00+00,2023/01/20 23:55:00+00,334467261,
-76.9863491820287,38.866087033184,23011005,2023/01/21 12:29:24+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF U STREET SE,401184.885375053,133139.926328985,8,8A,7,701,Cluster 28,007503 1,007503,Precinct 114,38.8660792516,-76.9863469051,,2023/01/21 03:00:00+00,2023/01/21 11:47:00+00,334467262,
-76.9665993515077,38.8583572867119,23011187,2023/01/21 21:30:30+00,EVENING,GUN,ROBBERY,2800 - 2899 BLOCK OF DENVER STREET SE,402899.19,132282.31,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,38.8583495057,-76.9665970809,,2023/01/21 19:21:00+00,,334467263,
-77.0288292512131,38.9730768388955,23011264,2023/01/21 23:55:40+00,EVENING,OTHERS,THEFT F/AUTO,6800 - 6899 BLOCK OF CAMERON DRIVE NW,397502,145017,4,4A,4,401,Cluster 40,010300 1,010300,Precinct 62,38.9730690371,-77.0288269542,,2023/01/21 02:00:00+00,2023/01/21 14:00:00+00,334467264,
-77.0259933508063,38.9175616091082,23011568,2023/01/22 18:00:32+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2000 - 2099 BLOCK OF 10TH STREET NW,397745.99,138854.24,1,1B,3,305,Cluster 3,004401 3,004401,Precinct 22,38.9175538183,-77.0259910581,,2023/01/22 04:30:00+00,2023/01/22 15:30:00+00,334467265,
-77.0201862802493,38.935744782354,23011967,2023/01/23 14:22:16+00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF PRINCETON PLACE NW,398250.04,140872.6,1,1E,4,409,Cluster 2,003200 1,003200,Precinct 43,38.9357369877,-77.0201839882,,2023/01/22 20:00:00+00,2023/01/23 13:30:00+00,334467266,
-77.0029690914542,38.9587691318037,23012052,2023/01/23 19:30:09+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5651 - 5699 BLOCK OF 3RD STREET NE,399742.86,143428.32,4,4B,4,406,Cluster 19,009505 3,009505,Precinct 65,38.9587613319,-77.0029668034,,2023/01/23 03:00:00+00,2023/01/23 15:00:00+00,334467267,
-77.03451688077,38.9466669555509,23012136,2023/01/23 20:15:58+00,EVENING,OTHERS,THEFT/OTHER,4600 - 4699 BLOCK OF 15TH STREET NW,397008.03,142085.43,4,4E,4,404,Cluster 18,002501 2,002501,Precinct 48,38.9466591592,-77.0345145836,,2023/01/19 18:35:00+00,2023/01/23 19:07:00+00,334467268,
-77.0209079309428,38.9018196465051,23012540,2023/01/24 13:56:44+00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF MASSACHUSETTS AVENUE NW,398186.61,137106.64,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.9018118587,-77.0209056408,DOWNTOWN,2023/01/23 03:00:00+00,2023/01/23 05:09:00+00,334467269,
-77.0326163534654,38.9045339743607,23013150,2023/01/25 15:30:31+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 1,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2023/01/25 14:46:00+00,2023/01/25 15:00:00+00,334467270,
-76.9476497764775,38.8966636721616,23013260,2023/01/26 02:27:52+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7,7F,6,602,Cluster 30,007803 1,007803,Precinct 99,38.8966558827,-76.9476475094,,2023/01/25 18:53:00+00,2023/01/25 19:54:00+00,334467271,
-77.03260090939,38.9126157270308,23013649,2023/01/26 21:53:04+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1425 BLOCK OF R STREET NW,397172.77,138305.39,2,2F,3,301,Cluster 7,005202 3,005202,Precinct 16,38.9126079375,-77.0325986149,,2023/01/26 13:13:00+00,2023/01/26 14:06:00+00,334467272,
-76.9658397232451,38.8603203629264,23014647,2023/01/28 01:54:37+00,EVENING,GUN,ROBBERY,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,402965.04,132500.25,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,38.8603125815,-76.9658374528,,2023/01/28 00:09:00+00,,334467273,
-77.0231260562302,38.9552897822163,23015269,2023/01/29 09:46:32+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,700 - 799 BLOCK OF JEFFERSON STREET NW,397995.71,143042.33,4,4D,4,403,Cluster 18,002101 3,002101,Precinct 56,38.9552819837,-77.0231237621,,2023/01/29 01:59:00+00,2023/01/29 03:25:00+00,334467274,
-77.0230440121252,38.9277673070497,23015284,2023/01/29 03:49:12+00,EVENING,OTHERS,THEFT F/AUTO,2913 - 2928 BLOCK OF GEORGIA AVENUE NW,398002.05,139987.09,1,1E,3,304,Cluster 2,003100 1,003100,Precinct 37,38.9277595141,-77.0230417197,,2023/01/28 05:00:00+00,,334467275,
-76.9312112959711,38.9014866052699,23015306,2023/01/29 03:55:09+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4900 - 4915 BLOCK OF JAY STREET NE,405967.07,137071.71,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9014788142,-76.9312090338,,2023/01/29 01:00:00+00,2023/01/29 02:00:00+00,334467276,
-76.9357067708663,38.8723666840276,23015854,2023/01/30 04:24:58+00,MIDNIGHT,OTHERS,THEFT F/AUTO,4355 - 4379 BLOCK OF SOUTHERN AVENUE SE,405579.4,133838.89,7,7B,6,605,Cluster 32,009902 1,009902,Precinct 106,38.872358899,-76.935704509,,2023/01/29 19:00:00+00,2023/01/30 01:20:00+00,334467277,
-77.0186685880687,38.9439157374931,23420482,2023/02/07 17:52:51+00,DAY,OTHERS,THEFT/OTHER,4300 - 4399 BLOCK OF NEW HAMPSHIRE AVENUE NW,398381.81,141779.62,4,4C,4,407,Cluster 18,002301 1,002301,Precinct 46,38.9439079411,-77.018666296,,2023/01/25 16:00:00+00,2023/01/25 16:55:00+00,334467319,
-76.9902457171882,38.8951174474673,23420557,2023/02/07 18:43:14+00,DAY,OTHERS,THEFT/OTHER,400 - 440 BLOCK OF 12TH STREET NE,400846.38,136362.48,6,6A,1,108,Cluster 25,008100 1,008100,Precinct 85,38.8951096599,-76.990243437,,2023/01/29 02:00:00+00,2023/01/29 02:00:00+00,334467320,
-77.0312192385833,38.9386856374894,23420627,2023/02/07 19:32:28+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF RANDOLPH STREET NW,397293.59,141199.33,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,38.9386778427,-77.031216943,,2023/02/01 17:00:00+00,2023/02/01 17:00:00+00,334467321,
-77.0417076908174,38.8989619350705,23420828,2023/02/15 17:42:32+00,DAY,OTHERS,THEFT/OTHER,700 - 753 BLOCK OF 18TH STREET NW,396382.26,136790.03,2,2A,2,207,Cluster 5,010800 2,010800,Precinct 2,38.8989541486,-77.0417053944,,2023/02/09 20:00:00+00,2023/02/09 20:10:00+00,334467322,
-77.0434405112119,38.9084964674219,23421093,2023/03/05 00:22:30+00,EVENING,OTHERS,THEFT/OTHER,1309 - 1399 BLOCK OF 19TH STREET NW,396232.45,137848.51,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,38.9084886791,-77.0434382136,GOLDEN TRIANGLE,2023/02/28 00:40:00+00,2023/02/28 01:00:00+00,334467323,
-77.0345748527497,38.9046993450181,23421128,2023/03/07 12:22:17+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 15TH STREET NW,397001.24,137426.67,2,2C,2,207,Cluster 6,010100 1,010100,Precinct 17,38.9046915572,-77.0345725582,DOWNTOWN,2023/03/05 03:30:00+00,2023/03/05 07:00:00+00,334467324,
-77.021918846948,38.8991374923213,23421390,2023/03/25 21:02:18+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 7TH STREET NW,398098.85,136808.92,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.8991297051,-77.0219165566,DOWNTOWN,2023/03/22 22:50:00+00,2023/03/23 02:20:00+00,334467325,
-76.9384237301706,38.9085504764601,23421560,2023/04/03 12:02:15+00,DAY,OTHERS,THEFT F/AUTO,4411 - 4499 BLOCK OF ORD STREET NE,405340.92,137855.41,7,7D,6,601,Cluster 29,009601 1,009601,Precinct 92,38.9085426842,-76.9384214653,,2023/03/26 04:00:00+00,2023/03/26 04:00:00+00,334467326,
-77.0621327440446,38.9068128293058,23421712,2023/04/14 11:32:19+00,DAY,OTHERS,THEFT/OTHER,3100 - 3199 BLOCK OF N STREET NW,394611.08,137662.55,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9068050421,-77.0621304407,,2023/03/30 21:00:00+00,2023/04/04 13:00:00+00,334467327,
-77.002774170274,38.9189930086586,23421918,2023/04/25 17:32:38+00,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF RHODE ISLAND AVENUE NE,399759.62,139012.82,5,5F,5,502,Cluster 21,009203 2,009203,Precinct 74,38.9189852167,-77.0027718847,,2023/04/25 14:05:00+00,2023/04/25 14:05:00+00,334467328,
-76.9300635600376,38.8777077800502,23068269,2023/05/02 14:08:31+00,DAY,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF 51ST STREET SE,406068.649091585,134432.151578184,7,7E,6,604,Cluster 33,007707 3,007707,Precinct 106,38.8776999936,-76.9300612997,,2023/04/29 01:18:00+00,2023/04/29 02:00:00+00,334467573,
-77.0379946321014,38.93035158101,23069753,2023/05/04 19:06:28+00,EVENING,OTHERS,THEFT/OTHER,3140 - 3172 BLOCK OF MOUNT PLEASANT STREET NW,396705.8,140274.4,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9303437881,-77.0379923349,,2023/05/04 18:30:00+00,2023/05/04 18:35:00+00,334467574,
-77.0265085208742,38.9149816866598,23070142,2023/05/05 09:43:31+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF VERMONT AVENUE NW,397701.23,138567.86,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9149738964,-77.0265062282,,2023/05/04 00:00:00+00,2023/05/05 02:59:00+00,334467575,
-76.9766492630046,38.8725566301926,23070146,2023/05/05 15:32:01+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1912 - 1999 BLOCK OF NAYLOR ROAD SE,402026.51,133858.27,8,8A,6,607,Cluster 34,007601 1,007601,Precinct 133,38.8725488467,-76.9766469884,,2023/05/05 09:15:00+00,2023/05/05 11:55:00+00,334467576,
-76.9908945870639,38.9042123409684,23070313,2023/05/05 17:00:06+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1100 - 1199 BLOCK OF MORSE STREET NE,400789.99,137372.08,5,5D,5,506,Cluster 23,008802 3,008802,Precinct 77,38.9042045516,-76.9908923061,,2023/05/04 21:30:00+00,2023/05/05 16:37:00+00,334467577,
-77.0327321588336,38.9295246790098,23070554,2023/05/06 05:57:15+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2023/05/05 22:01:00+00,2023/05/06 00:00:00+00,334467578,
-76.9544112224126,38.8906893617838,23070874,2023/05/06 11:03:14+00,DAY,OTHERS,THEFT/OTHER,3500 - 3531 BLOCK OF AMES STREET NE,403955.26,135871.87,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,38.8906815738,-76.9544089536,,2023/05/06 09:42:00+00,2023/05/06 10:24:00+00,334467579,
-76.9754691934455,38.8662922111556,23072392,2023/05/08 23:55:50+00,EVENING,OTHERS,THEFT F/AUTO,1970 - 1981 BLOCK OF RETTA GILLIAM COURT SE,402129.1,133162.9,8,8A,6,607,Cluster 34,007605 1,007605,Precinct 112,38.8662844288,-76.9754669196,,2023/05/06 04:00:00+00,2023/05/06 04:00:00+00,334467580,
-76.9807437961878,38.9275599912955,23072522,2023/05/09 06:01:13+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2900 - 2999 BLOCK OF 17TH STREET NE,401669.91,139964,5,5B,5,504,Cluster 22,009301 3,009301,Precinct 70,38.9275521968,-76.980741517,,2023/05/09 05:10:00+00,2023/05/09 06:00:00+00,334467581,
-76.9860319378937,38.9142215739555,23072655,2023/05/10 11:23:54+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF OKIE STREET NE,401211.6,138483.24,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9142137824,-76.9860296578,,2023/05/07 04:01:00+00,2023/05/07 07:00:00+00,334467582,
-76.9931424855264,38.9222243975062,23072844,2023/05/09 19:54:43+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594.86,139371.55,2,2G,5,505,Cluster 7,004901 3,004901,Precinct 21,38.9222166046,-76.9931402028,,2023/05/09 16:30:00+00,2023/05/09 16:35:00+00,334467583,
-76.9286452021765,38.9026649901483,23072977,2023/05/09 23:34:02+00,EVENING,OTHERS,BURGLARY,4900 - 5199 BLOCK OF JUST STREET NE,406189.555939697,137202.690972755,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9026571985,-76.9286429402,,2023/05/08 20:17:00+00,2023/05/09 22:22:00+00,334467584,
